date_id,year,month,day
277,2024,10,3
278,2024,10,4
279,2024,10,5
280,2024,10,6
281,2024,10,7
282,2024,10,8
283,2024,10,9
284,2024,10,10
285,2024,10,11
286,2024,10,12
287,2024,10,13
288,2024,10,14
289,2024,10,15
290,2024,10,16
291,2024,10,17
292,2024,10,18
293,2024,10,19
294,2024,10,20
295,2024,10,21
296,2024,10,22
297,2024,10,23
298,2024,10,24
299,2024,10,25
300,2024,10,26
301,2024,10,27
302,2024,10,28
303,2024,10,29
304,2024,10,30
305,2024,10,31
306,2024,11,1
307,2024,11,2
308,2024,11,3
309,2024,11,4
310,2024,11,5
311,2024,11,6
312,2024,11,7
313,2024,11,8
314,2024,11,9
315,2024,11,10
316,2024,11,11
317,2024,11,12
318,2024,11,13
319,2024,11,14
320,2024,11,15
321,2024,11,16
322,2024,11,17
323,2024,11,18
324,2024,11,19
325,2024,11,20
326,2024,11,21
327,2024,11,22
328,2024,11,23
329,2024,11,24
330,2024,11,25
331,2024,11,26
332,2024,11,27
333,2024,11,28
334,2024,11,29
335,2024,11,30
336,2024,12,1
337,2024,12,2
338,2024,12,3
339,2024,12,4
340,2024,12,5
341,2024,12,6
342,2024,12,7
343,2024,12,8
344,2024,12,9
345,2024,12,10
346,2024,12,11
347,2024,12,12
348,2024,12,13
349,2024,12,14
350,2024,12,15
351,2024,12,16
352,2024,12,17
353,2024,12,18
354,2024,12,19
355,2024,12,20
356,2024,12,21
357,2024,12,22
358,2024,12,23
359,2024,12,24
360,2024,12,25
361,2024,12,26
362,2024,12,27
363,2024,12,28
364,2024,12,29
365,2024,12,30
366,2024,12,31
